	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1148	242.6410046849212	-0.35874834285749424	0.17774744788741798	-2.0183037625649565	0.04355963510629113	0.12947844293405433
g1149	627.037301668657	-0.5868921006411414	0.16733280897092823	-3.5073343013270386	0.00045262013969357955	0.0041073101618828425
g115	225.59814023271056	-0.2647139669663851	0.17981611317329796	-1.4721370754536705	0.14098386538689195	0.2917840415764897
g1150	691.7759061444272	-0.2038635090450891	0.13656214351774731	-1.4928259310648226	0.13548275762495154	0.28413563610907766
g1151	387.678473697024	0.3673106492411058	0.1994086472355024	1.8419996039956608	0.06547520780040685	0.17272460478444152
g1152	644.1176852983114	0.03732876758159273	0.12572083871857964	0.29691790129678874	0.7665291888943011	0.8658431143255496
g1153	475.3959121372939	-0.16038192977776938	0.15997662434674678	-1.0025335290870003	0.3160859812780489	0.5038955149174977
g1154	903.3777976544151	-0.18194125835489913	0.11379859203957154	-1.5988006098672303	0.10986491350979057	0.24526318657567087
g1155	1643.0265356730104	0.016062908197775193	0.1128193586159491	0.14237723379065909	0.8867820439819507	0.9416602576742233
g1156	1469.2548406933308	-0.21169384851414935	0.11683807650876203	-1.8118566724117013	0.07000834565871324	0.18052015359401807
g1157	1140.2113631857205	-0.5155998948005861	0.11525805301584459	-4.473439220161964	7.697144403599403e-06	0.00015621892539563308
g1158	260.4186764871507	0.022726904505005387	0.17701745845404623	0.1283879268377661	0.8978419850734358	0.9482159379708532
g1159	901.8475893560844	-0.4260061354299225	0.1264992997964173	-3.3676560748993785	0.000758101027432208	0.006289739293530957
g116	2085.034929044556	-0.2385608017049692	0.115391007785044	-2.0674124118005097	0.03869530969868901	0.11925664950284137
g1160	688.9627731635061	-0.27222879763351343	0.1354804265774124	-2.0093588757484766	0.04449908819491242	0.13144292483238995
g1161	13973.874995268647	0.11675727327756553	0.08155812751501433	1.431583544583846	0.15226304175850422	0.3081999906908061
g1162	930.9958295399982	0.08148192428537972	0.17748356160998618	0.4590956117075977	0.6461655078155693	0.7871116783612891
g1163	872.1962403057787	-0.3791265964265065	0.12732101808118165	-2.977721998615893	0.002903992538344002	0.01788347770350507
g1164	1914.4171216247332	0.1300048347019464	0.10337067539289002	1.257656818123956	0.2085158953909899	0.3860458583133825
g1165	687.5972909333949	-0.08013795410528796	0.1318594005893401	-0.607753059297363	0.5433512663236904	0.7136920773736712
g1166	663.9329347290952	0.31666926270451884	0.13801014015069682	2.294536201171447	0.021759718127540895	0.07905961109862068
g1167	321.02878871965294	0.25713436435954323	0.1601807628450609	1.6052761879294037	0.10843303711511974	0.24336189958952262
g1168	1707.4400248465781	-0.15907991810678704	0.09788916471633888	-1.6251024162660435	0.10414073814307179	0.23768517925640628
g1169	1119.7188026092351	0.22207568403514782	0.12969472140702196	1.7122954706707452	0.08684223095808805	0.20814566467732212
g117	311.93673132746477	-0.26243370672430955	0.1691258941859473	-1.5517062481028123	0.12073252700500706	0.2614832412185322
g1170	148.37763475722744	0.3319607584156551	0.23386361385759202	1.4194630491676141	0.15576406221756914	0.3129373788564787
g1171	1210.648737371129	0.24878260772025312	0.1103976587342552	2.253513440163732	0.02422679426854902	0.08531357123486245
g1172	335.35185190103397	0.30889831646956784	0.22063848901185723	1.4000200864907457	0.16150730355341014	0.3208702634164402
g1173	2430.929754032842	0.6470173415647315	0.38470023540196946	1.6818740463952913	0.09259326635523288	0.21798987323848662
g1174	3090.886195653676	-0.005422817381852052	0.12540520990255327	-0.043242361191101066	0.9655083373048332	0.9817928833516222
g1175	3336.1032523646513	0.7279076072981518	0.4369770948309789	1.6657797763512154	0.09575728561904896	0.22272566433266164
g1176	2994.58206058585	0.01626540421035898	0.11818164855580976	0.13763054085912377	0.8905324171006702	0.9435194708265592
g1177	2150.7471703191627	0.7716854727211899	0.42485660861065	1.8163433428627285	0.06931772043539842	0.1795980745666637
g1178	2128.4920989643274	0.7613013916860253	0.40813054812178345	1.865337929712769	0.062134051740306256	0.16588122016948806
g1179	2399.2257178547966	0.04203746436677394	0.12114714874741643	0.34699507831108095	0.7285950162707324	0.8431778621771964
g118	544.8989393065787	-0.47615730063262673	0.14358258173510083	-3.316260892362985	0.000912306181794373	0.007374637765040167
g1180	2245.4244866080867	0.4157407793497326	0.2001973899244198	2.0766543435290865	0.03783347334039541	0.11750211522558518
g1181	407.1063294560938	0.48891232509324106	0.16686080072022477	2.9300610028415215	0.003388954667405836	0.020083679543888587
g1182	372.95736901017995	-0.175627437856547	0.2023071861152776	-0.8681225873828916	0.3853272270403132	0.5753996368976196
g1183	1165.9850528415184	-0.05282802848105851	0.12995665106178364	-0.4065050003169376	0.6843715836862179	0.812436982090688
g1184	949.2856087403367	-0.2496379437400901	0.142685737459441	-1.7495648001332347	0.08019343808429455	0.19721839007701103
g1185	791.1018465860324	-0.32774020227313067	0.1270591004899363	-2.5794311545522812	0.00989631825538357	0.044794486108001165
g1186	1098.2150757357958	-0.04106204303722275	0.1171182074419762	-0.35060341115249816	0.7258858970718909	0.8417465345639633
g1187	771.9567519997821	0.20680419735329783	0.19685280286540954	1.0505524653092806	0.2934641826069172	0.48145471070887114
g1188	525.144947083977	-0.4702360060458976	0.15173803972517677	-3.0989988199239584	0.0019417579352082883	0.013279232256179871
g1189	799.345686219418	0.08080051257502432	0.12320362059152594	0.6558290429054312	0.5119341274060951	0.6860317113801949
g119	2384.1400283905746	-0.24619384057400812	0.1009010058707659	-2.439954274482986	0.014689121063559558	0.059593749174830186
g1190	949.5426110076214	0.14410329233731167	0.1605689906383519	0.8974540586225285	0.3694766775533138	0.558356468280128
g1191	1140.4417804555737	0.03409730355315069	0.1133182453140323	0.30089861927052264	0.7634918032180915	0.8636994184457002
g1192	274.80191044207714	-0.11428746444722584	0.17087758109377876	-0.6688265582628075	0.5036061230752185	0.678371745993052
g1193	1598.7395540468963	0.5550412469268043	0.12344744421002685	4.49617446905168	6.918697232935149e-06	0.0001442987958802773
g1194	112.88945027277474	1.1263371279461027	0.25694041609312407	4.383651062267601	1.1670665501324865e-05	0.00022416465149117465
g1195	1233.8172244985778	0.008765016142972676	0.11225804284273667	0.07807918186540688	0.9377650670960376	0.9672303629200933
g1196	183.88516043047113	0.1388257200481652	0.21045993082695827	0.6596301704684525	0.5094911881247166	0.6842153095591623
g1197	1075.5510873497262	0.5906052107515521	0.12052335603043725	4.900338243173375	9.567179960968918e-07	2.7360685115649748e-05
g1198	595.7554043181254	0.3290333483455848	0.21168849755356325	1.5543279495492186	0.12010620990644016	0.26068078161422265
g12	94.6990705802525	0.13053179282975694	0.2737109884819542	0.476896428432441	0.6334358753774768	0.7768747334470354
g120	1036.3485540962004	-0.11709777632532072	0.1051903598833683	-1.113198742310179	0.2656230827189682	0.4559027205013416
g1200	1357.2530565594916	0.4360928759172043	0.1681884768762872	2.5928820096157774	0.009517541668619553	0.043479376589624995
g1201	813.1512574721351	-0.19987195654551052	0.12367207875262153	-1.616144553899752	0.10606306329185083	0.24032896994401975
g1202	1377.7677094101946	-0.005866960941114722	0.11701043719695638	-0.05014049243521099	0.9600104320052769	0.9798040064763395
g1203	142.24388371540456	0.7808694247604764	0.28641372637730805	2.7263687206520104	0.006403542000900289	0.03229728968388496
g1204	842.0853729998199	-0.08762921848538649	0.13611974272669483	-0.6437656781450944	0.5197273931395097	0.6930310523142525
g1205	589.1596977040045	0.3248438262582239	0.1637824847115577	1.9833856277752544	0.047324371266003036	0.1383807138103497
g1206	797.3954749929891	0.004213946027661437	0.13378663455433107	0.03149751125513322	0.9748727768924226	0.9861052338609043
g1207	3803.5044940750213	-0.04745486997378493	0.08310609219169768	-0.5710155383593609	0.5679891100299137	0.732294702992802
g1208	164.61554620815633	0.2656433782853131	0.23486210946733607	1.1310610250746214	0.2580294071685868	0.44743271109849114
g1209	59.82387913091383	0.4221931101402507	0.3809422235131974	1.1082864646681103	0.26773811913269296	0.4579571362600435
g121	490.53161786256396	0.1592107513413495	0.13656820252087148	1.1657966378888056	0.2436966768905413	0.4302876310859651
g1210	976.6190213395561	-0.009874581572964985	0.11345584508633028	-0.08703457777297649	0.93064402729223	0.9646296548677014
g1211	178.03772241474164	0.801287493706008	0.3273333006001783	2.447925378312614	0.014368140961036039	0.05876460685580829
g1212	151.91829855710043	0.7178433351519202	0.2506009876318205	2.864487254960726	0.004176849627630573	0.023639591220847696
