	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g1215	2881.94141214908	2678.9799021220747	2358.543541250083	2865.0738591162512	2744.5142785049775	2861.331663520037
g1216	166.72388334746742	152.94656893124824	179.16832909925523	178.69483528791588	157.76848547094482	163.36088236561667
g1217	2481.0101688611226	3411.513469108579	3435.578016739391	3569.925709418586	3117.5710097748156	3300.5092015385017
g1218	922.9357828163376	792.1022306755173	742.9918280161205	980.8360959136716	949.8977562729802	895.7750753413198
g1219	198.4808135088898	198.02555766887932	253.06261172211188	150.89786090979564	147.90795512901076	178.2646595482618
g122	4180.005932497219	4301.823496676793	3777.718667787686	4910.1369740779555	4747.8453596412455	4838.888695664001
g1220	1538.226304693896	1411.9383258179444	1303.7785755923205	1258.805839694874	1403.4821520019466	1265.4661716900496
g1221	1186.915264783161	1590.6443168849817	1319.9745827425356	1137.6904513330644	1179.9767975847749	1114.6863999331592
g1222	2338.103983134722	2113.8825790181995	1918.214596853608	1963.657689997209	1850.4928608362902	1900.521924108993
g1223	575.5943591757805	758.292989122294	647.8402860086064	546.0119967130763	517.6778429515376	573.3115326622708
g1224	1591.8161243412962	1919.0769491162937	1986.0353767951342	1336.2402683196376	1276.9386792804596	1392.825722159926
g1225	138.93656945622286	196.41559378539247	177.14382820547831	136.9993737207355	123.25662927417564	139.94066107860291
g1226	1851.825990037942	1337.8799871775504	1529.5104252484443	1544.7175761555395	1446.2111168169943	1495.6037180558294
g1227	275.8883307773568	516.7984065992704	596.2155132172957	405.0416266526093	420.71596125585285	392.14353989661066
g1228	783.9992133601147	980.4680050434756	1123.5979960461768	1191.2989019194392	1155.3254717299396	1140.2357322462651
g1229	1534.2566884237183	2155.741639988857	2117.6279348906323	1518.906099947285	1566.1809026438584	1552.509049116838
g123	265.96429010191235	169.04620776611648	269.2586188723271	174.7238389481844	248.15668027200695	187.55532584393669
g1230	762.1663238741369	767.9527724232149	846.2413735987421	869.6481984011906	718.17529323753	796.4810793062945
g1231	367.18950499144614	230.22483533861578	430.2064399275902	230.31778770442492	315.53697094188965	296.72065481811654
